Country_Number,Three_Letter_Country_Code,Country_Name,RS
458,MYS,Malaysia,1.412
504,MAR,"Morocco, Kingdom of",1.386
600,PRY,"Paraguay, Republic of",1.363
558,NIC,"Nicaragua, Republic of",1.326
360,IDN,"Indonesia, Republic of",1.324
484,MEX,"Mexico, United Mexican States",1.317
96,BRN,Brunei Darussalam,1.308
72,BWA,"Botswana, Republic of",1.301
31,AZE,"Azerbaijan, Republic of",1.266
132,CPV,"Cape Verde, Republic of",1.262
578,NOR,"Norway, Kingdom of",1.246
364,IRN,"Iran, Islamic Republic of",1.243
756,CHE,"Switzerland, Swiss Confederation",1.213
64,BTN,"Bhutan, Kingdom of",1.2
356,IND,"India, Republic of",1.193
214,DOM,Dominican Republic,1.175
188,CRI,"Costa Rica, Republic of",1.148
50,BGD,"Bangladesh, People's Republic of",1.143
583,FSM,"Micronesia, Federated States of",1.13
862,VEN,"Venezuela, Bolivarian Republic of",1.123
740,SUR,"Suriname, Republic of",1.103
554,NZL,New Zealand,1.089
124,CAN,Canada,1.071
232,ERI,"Eritrea, State of",1.059
44,BHS,"Bahamas, Commonwealth of the",1.057
704,VNM,"Vietnam, Socialist Republic of",1.043
32,ARG,"Argentina, Argentine Republic",1.039
152,CHL,"Chile, Republic of",1.036
788,TUN,"Tunisia, Tunisian Republic",0.999
170,COL,"Colombia, Republic of",0.991
604,PER,"Peru, Republic of",0.97
470,MLT,"Malta, Republic of",0.911
76,BRA,"Brazil, Federative Republic of",0.876
196,CYP,"Cyprus, Republic of",0.851
104,MMR,"Myanmar, Union of",0.806
882,WSM,"Samoa, Independent State of",0.798
752,SWE,"Sweden, Kingdom of",0.783
840,USA,United States of America,0.754
826,GBR,United Kingdom of Great Britain & Northern Ireland,0.743
748,SWZ,"Swaziland, Kingdom of",0.723
434,LBY,Libyan Arab Jamahiriya,0.7
40,AUT,"Austria, Republic of",0.629
56,BEL,"Belgium, Kingdom of",0.628
144,LKA,"Sri Lanka, Democratic Socialist Republic of",0.628
426,LSO,"Lesotho, Kingdom of",0.626
780,TTO,"Trinidad and Tobago, Republic of",0.625
308,GRD,Grenada,0.625
352,ISL,"Iceland, Republic of",0.609
662,LCA,Saint Lucia,0.571
388,JAM,Jamaica,0.565
156,CHN,"China, People's Republic of",0.548
408,PRK,"Korea, Democratic People's Republic of",0.511
410,KOR,"Korea, Republic of",0.509
250,FRA,"France, French Republic",0.494
140,CAF,Central African Republic,0.479
208,DNK,"Denmark, Kingdom of",0.476
328,GUY,"Guyana, Co-operative Republic of",0.475
222,SLV,"El Salvador, Republic of",0.452
764,THA,"Thailand, Kingdom of",0.447
372,IRL,Ireland,0.426
246,FIN,"Finland, Republic of",0.425
380,ITA,"Italy, Italian Republic",0.418
51,ARM,"Armenia, Republic of",0.333
858,URY,"Uruguay, Eastern Republic of",0.312
528,NLD,"Netherlands, Kingdom of the",0.304
705,SVN,"Slovenia, Republic of",0.271
276,DEU,"Germany, Federal Republic of",0.236
52,BRB,Barbados,0.225
643,RUS,Russian Federation,0.209
242,FJI,"Fiji, Republic of the Fiji Islands",0.204
480,MUS,"Mauritius, Republic of",0.184
192,CUB,"Cuba, Republic of",0.176
670,VCT,Saint Vincent and the Grenadines,0.162
203,CZE,Czech Republic,0.123
703,SVK,Slovakia (Slovak Republic),0.116
499,MNE,"Montenegro, Republic of",0.086
807,MKD,"Macedonia, The Former Yugoslav Republic of",0.083
112,BLR,"Belarus, Republic of",0.04
524,NPL,"Nepal, State of",0.001
498,MDA,"Moldova, Republic of",-0.075
392,JPN,Japan,-0.087
724,ESP,"Spain, Kingdom of",-0.111
616,POL,"Poland, Republic of",-0.155
233,EST,"Estonia, Republic of",-0.253
688,SRB,"Serbia, Republic of",-0.256
348,HUN,"Hungary, Republic of",-0.303
268,GEO,Georgia,-0.369
804,UKR,Ukraine,-0.384
8,ALB,"Albania, Republic of",-0.394
300,GRC,"Greece, Hellenic Republic",-0.423
620,PRT,"Portugal, Portuguese Republic",-0.434
191,HRV,"Croatia, Republic of",-0.445
642,ROU,Romania,-0.541
100,BGR,"Bulgaria, Republic of",-0.616
776,TON,"Tonga, Kingdom of",-0.625
630,PRI,"Puerto Rico, Commonwealth of",-1.14
428,LVA,"Latvia, Republic of",-1.178
440,LTU,"Lithuania, Republic of",-1.268
70,BIH,Bosnia and Herzegovina,-1.549
760,SYR,Syrian Arab Republic,-3.428
