Jonctiune,Cluster 1,Cluster 2,Distanta,Dimensiune_Cluster
1,93,96,0.1380,2
2,33,39,0.1402,2
3,64,130,0.1521,2
4,127,165,0.1544,2
5,13,45,0.1569,2
6,72,156,0.1591,2
7,61,148,0.1663,2
8,22,135,0.1718,2
9,82,152,0.1857,2
10,28,103,0.2024,2
11,54,C5,0.2063,3
12,71,143,0.2070,2
13,117,121,0.2190,2
14,7,87,0.2195,2
15,21,100,0.2213,2
16,77,115,0.2308,2
17,18,147,0.2493,2
18,34,138,0.2505,2
19,11,105,0.2505,2
20,52,129,0.2560,2
21,5,C4,0.2636,3
22,118,126,0.2826,2
23,172,C11,0.2855,4
24,65,95,0.2926,2
25,27,131,0.3032,2
26,47,106,0.3078,2
27,C16,C23,0.3107,6
28,41,43,0.3114,2
29,109,146,0.3126,2
30,174,C2,0.3165,3
31,1,40,0.3178,2
32,157,C10,0.3194,3
33,55,C6,0.3409,3
34,89,128,0.3438,2
35,79,C14,0.3466,3
36,48,86,0.3565,2
37,170,C29,0.3588,3
38,31,176,0.3621,2
39,160,C19,0.3638,3
40,108,169,0.3795,2
41,6,C13,0.3804,3
42,35,C21,0.3830,4
43,C8,C12,0.3910,4
44,166,C26,0.3949,3
45,74,154,0.3963,2
46,10,14,0.4057,2
47,75,C15,0.4237,3
48,9,164,0.4321,2
49,168,175,0.4374,2
50,98,137,0.4410,2
51,178,C22,0.4511,3
52,12,C28,0.4543,3
53,29,46,0.4622,2
54,24,59,0.4673,2
55,180,C50,0.4707,3
56,97,145,0.4731,2
57,139,C36,0.4799,3
58,4,177,0.4806,2
59,15,26,0.4977,2
60,42,C35,0.4978,4
61,70,110,0.5074,2
62,C7,C60,0.5160,6
63,25,136,0.5192,2
64,83,107,0.5237,2
65,2,C61,0.5245,3
66,68,114,0.5357,2
67,C20,C31,0.5362,4
68,80,C25,0.5413,3
69,50,142,0.5596,2
70,20,60,0.5663,2
71,81,C18,0.5663,3
72,C32,C41,0.5779,6
73,66,171,0.5858,2
74,62,125,0.6008,2
75,C27,C33,0.6182,9
76,163,C57,0.6184,4
77,58,C40,0.6185,3
78,37,173,0.6194,2
79,19,141,0.6194,2
80,94,99,0.6275,2
81,C53,C58,0.6288,4
82,116,159,0.6374,2
83,67,153,0.6449,2
84,56,69,0.6463,2
85,16,133,0.6485,2
86,44,C49,0.6525,3
87,88,101,0.6563,2
88,63,167,0.6567,2
89,C17,C42,0.6577,6
90,17,90,0.6608,2
91,124,C44,0.6610,4
92,8,C24,0.6677,3
93,132,140,0.6694,2
94,C63,C77,0.6736,5
95,C3,C9,0.6890,4
96,C39,C71,0.6961,6
97,73,C59,0.6990,3
98,C34,C73,0.7020,4
99,38,102,0.7060,2
100,91,134,0.7060,2
101,C55,C69,0.7094,5
102,32,120,0.7582,2
103,C37,C67,0.7909,7
104,C45,C46,0.8057,4
105,23,C90,0.8138,3
106,36,161,0.8271,2
107,122,C97,0.8279,4
108,C47,C48,0.8333,5
109,113,C74,0.8380,3
110,111,C68,0.8381,4
111,0,C86,0.8385,4
112,149,C99,0.8447,3
113,104,C80,0.8517,3
114,C62,C75,0.8819,15
115,C38,C89,0.9077,8
116,92,155,0.9144,2
117,C76,C92,0.9265,7
118,76,C82,0.9282,3
119,85,C78,0.9674,3
120,C43,C103,0.9832,11
121,181,C106,1.0364,3
122,C56,C72,1.0414,8
123,C51,C65,1.0462,6
124,C91,C108,1.0605,9
125,C30,C52,1.0783,6
126,C81,C104,1.1005,8
127,C64,C98,1.1045,6
128,57,C101,1.1070,6
129,3,49,1.1247,2
130,112,C100,1.1479,3
131,162,179,1.1656,2
132,150,C105,1.1665,4
133,C54,C113,1.2503,5
134,84,C87,1.2582,3
135,C96,C115,1.2625,14
136,C1,C85,1.2785,4
137,C70,C118,1.2998,5
138,C111,C121,1.3117,7
139,53,C66,1.3381,3
140,78,C122,1.3472,9
141,C84,C109,1.3605,5
142,C83,C110,1.3896,6
143,123,C88,1.4027,3
144,C114,C125,1.4635,21
145,51,151,1.5377,2
146,C107,C139,1.6107,7
147,C79,C124,1.6384,11
148,C119,C128,1.6611,9
149,C93,C143,1.6836,5
150,C141,C145,1.7894,7
151,C95,C144,1.8147,25
152,C120,C136,1.8240,15
153,119,C112,1.8267,4
154,C94,C117,1.8353,12
155,C123,C126,1.9921,14
156,C129,C138,2.1627,9
157,C130,C134,2.1979,6
158,C132,C146,2.2441,11
159,C127,C155,2.2837,20
160,C102,C153,2.3711,6
161,30,144,2.4866,2
162,C133,C142,2.7238,11
163,C131,C159,2.7241,22
164,C140,C151,2.7739,34
165,C135,C147,2.8140,25
166,C149,C158,3.1271,16
167,C148,C150,3.2428,16
168,C160,C162,3.5652,17
169,158,C152,3.7461,16
170,C137,C163,3.8592,27
171,C154,C165,4.0066,37
172,C156,C167,4.7361,25
173,C116,C161,5.0746,4
174,C166,C170,5.5719,43
175,C169,C171,5.7736,53
176,C168,C173,6.0044,21
177,C164,C175,8.9581,87
178,C172,C176,9.8534,46
179,C157,C174,10.8572,49
180,C177,C179,16.5287,136
181,C178,C180,39.8055,182
